mixture,source1,source2,speaker1,speaker2,snr
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02685_id00817_0.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02685_id00817_0.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02685_id00817_0.wav,id02685,id00817,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00866_id03347_1.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00866_id03347_1.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00866_id03347_1.wav,id00866,id03347,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01989_id00081_2.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01989_id00081_2.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01989_id00081_2.wav,id01989,id00081,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02286_id02576_3.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02286_id02576_3.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02286_id02576_3.wav,id02286,id02576,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02725_id03041_4.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02725_id03041_4.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02725_id03041_4.wav,id02725,id03041,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02548_id01333_5.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02548_id01333_5.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02548_id01333_5.wav,id02548,id01333,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01541_id01333_6.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01541_id01333_6.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01541_id01333_6.wav,id01541,id01333,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01541_id00812_7.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01541_id00812_7.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01541_id00812_7.wav,id01541,id00812,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01567_id02576_8.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01567_id02576_8.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01567_id02576_8.wav,id01567,id02576,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02445_id00817_9.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02445_id00817_9.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02445_id00817_9.wav,id02445,id00817,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02685_id02577_10.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02685_id02577_10.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02685_id02577_10.wav,id02685,id02577,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00419_id00081_11.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00419_id00081_11.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00419_id00081_11.wav,id00419,id00081,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01224_id00812_12.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01224_id00812_12.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01224_id00812_12.wav,id01224,id00812,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01593_id01000_13.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01593_id01000_13.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01593_id01000_13.wav,id01593,id01000,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01333_id03041_14.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01333_id03041_14.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01333_id03041_14.wav,id01333,id03041,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02445_id03178_15.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02445_id03178_15.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02445_id03178_15.wav,id02445,id03178,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01333_id02685_16.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01333_id02685_16.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01333_id02685_16.wav,id01333,id02685,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id03524_id00154_17.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id03524_id00154_17.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id03524_id00154_17.wav,id03524,id00154,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01822_id01333_18.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01822_id01333_18.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01822_id01333_18.wav,id01822,id01333,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02542_id03127_19.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02542_id03127_19.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02542_id03127_19.wav,id02542,id03127,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01822_id02725_20.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01822_id02725_20.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01822_id02725_20.wav,id01822,id02725,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01228_id03347_21.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01228_id03347_21.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01228_id03347_21.wav,id01228,id03347,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02548_id01989_22.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02548_id01989_22.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02548_id01989_22.wav,id02548,id01989,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00866_id02286_23.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00866_id02286_23.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00866_id02286_23.wav,id00866,id02286,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00817_id00926_24.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00817_id00926_24.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00817_id00926_24.wav,id00817,id00926,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01618_id02576_25.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01618_id02576_25.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01618_id02576_25.wav,id01618,id02576,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02465_id00017_26.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02465_id00017_26.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02465_id00017_26.wav,id02465,id00017,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id03524_id02725_27.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id03524_id02725_27.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id03524_id02725_27.wav,id03524,id02725,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01000_id02057_28.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01000_id02057_28.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01000_id02057_28.wav,id01000,id02057,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id03382_id01041_29.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id03382_id01041_29.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id03382_id01041_29.wav,id03382,id01041,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01460_id02685_30.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01460_id02685_30.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01460_id02685_30.wav,id01460,id02685,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01593_id03382_31.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01593_id03382_31.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01593_id03382_31.wav,id01593,id03382,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02317_id00017_32.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02317_id00017_32.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02317_id00017_32.wav,id02317,id00017,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00817_id01593_33.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00817_id01593_33.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00817_id01593_33.wav,id00817,id01593,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02542_id00562_34.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02542_id00562_34.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02542_id00562_34.wav,id02542,id00562,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id03382_id02445_35.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id03382_id02445_35.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id03382_id02445_35.wav,id03382,id02445,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02465_id01000_36.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02465_id01000_36.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02465_id01000_36.wav,id02465,id01000,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01989_id01106_37.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01989_id01106_37.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01989_id01106_37.wav,id01989,id01106,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01822_id02745_38.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01822_id02745_38.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01822_id02745_38.wav,id01822,id02745,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02019_id00817_39.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02019_id00817_39.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02019_id00817_39.wav,id02019,id00817,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00061_id02548_40.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00061_id02548_40.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00061_id02548_40.wav,id00061,id02548,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00017_id00419_41.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00017_id00419_41.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00017_id00419_41.wav,id00017,id00419,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id00081_id01541_42.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id00081_id01541_42.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id00081_id01541_42.wav,id00081,id01541,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02745_id02181_43.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02745_id02181_43.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02745_id02181_43.wav,id02745,id02181,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02542_id02086_44.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02542_id02086_44.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02542_id02086_44.wav,id02542,id02086,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01066_id00812_45.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01066_id00812_45.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01066_id00812_45.wav,id01066,id00812,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id01892_id02057_46.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id01892_id02057_46.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id01892_id02057_46.wav,id01892,id02057,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id03178_id01541_47.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id03178_id01541_47.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id03178_id01541_47.wav,id03178,id01541,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02445_id02019_48.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02445_id02019_48.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02445_id02019_48.wav,id02445,id02019,"(-5, 5)"
/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/mix_id02057_id01228_49.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s1_id02057_id01228_49.wav,/DATA/rl_gaming/results_iii_gpt/mixed_audio/train/s2_id02057_id01228_49.wav,id02057,id01228,"(-5, 5)"
